id,platform,city,text,objective_criteria,subjective_criteria,openness,annotator,split
xhs_train_51,小红书,北京,住在外七内九门以内，生于此长于此算一代，父辈如此算二代，祖父辈如此就算老北京了。个人标准，供参考。,Residence; Family Heritage,Self-ID,Inclusive,merged,train
xhs_train_55,小红书,北京,不 六环内范围太大了 城八区就看不上郊区的 我上大学第一天就被皇城根小姐妹伤害了 说我们不是北京,Intra-city Region,,Restrictive,merged,train
xhs_train_56,小红书,北京,5代 说不了北京话,Family Heritage,Language,Restrictive,merged,train
xhs_train_58,小红书,北京,我一直认为北京土著是在北京出生长大的，京籍可以是后天拿的北京户口？,Birth/Upbringing,,Neutral,merged,train
xhs_train_60,小红书,北京,不能吧，至少爷爷奶奶是吧，我身边好多同学，爸爸妈妈是新北京。,Family Heritage,,Restrictive,merged,train
xhs_train_61,小红书,北京,不是几代人，你家1949年前不是北京人的，都不能算老北京了,Family Heritage,,Restrictive,merged,train
xhs_train_63,小红书,北京,你说的，跟我说的，是两个意思！再通俗点，看你在哪上坟，祖坟埋在哪是很多人过年不回老家，但是跟他们老家在哪、是哪个地方的人，没有关系！也有很多北京本地人，春节出去旅游的……这跟我说的不是一回事！一般来说，就算不看户籍里的籍贯，也看祖上三代,Legal/Admin; Family Heritage,,Restrictive,merged,train
xhs_train_65,小红书,北京,除了自己必许在北京出生长大外，严标准，至少祖父母也在北京出生长大；宽标准，父母在北京出生长大。,Birth/Upbringing; Family Heritage,,Restrictive,merged,train
xhs_train_66,小红书,北京,其实按北京爷们儿的说法，你能很出色的做一些事情，就算北京人。甭管你户口在哪，你来自哪儿，你在哪做的事情，你就是给北京爷们儿露脸了。,,Self-ID,Inclusive,merged,train
xhs_train_67,小红书,北京,我的判断是如果穿了特别舒服的全身的运动服基本就是北京的，如果没穿就先设定不是北京的，再听口音排除,,Culture; Language,Restrictive,merged,train
xhs_train_68,小红书,北京,气质跟北京人不一样 其实只要父母不是北京人 就算北京长大的也是跟北京土著有差别 这个我们海外北京人很容易分辨北漂和北京土著,Family Heritage,Community,Restrictive,merged,train
xhs_train_71,小红书,北京,是的啦 所以多少代也不算北京土著 就是北京人,Family Heritage,Self-ID,Restrictive,merged,train
xhs_train_73,小红书,北京,在外地人眼里算，本地的老北京看你在几环了,Intra-city Region,,Restrictive,merged,train
xhs_train_75,小红书,北京,我觉得一代移民自己都认为自己不是北京人。我有北京户口20年了，可是别人问我自己都会说我不是北京人，故乡永远是故乡，变不了。但是问我在北京出生身份证110开头的儿子，他会直接回答他是北京人。除了别人的认同还有自我的认同吧。,Birth/Upbringing,Belonging; Self-ID,Inclusive,merged,train
xhs_train_76,小红书,北京,三代出生在北京的人就算北京人,Birth/Upbringing; Family Heritage,,Neutral,merged,train
xhs_train_81,小红书,北京,110开头吧，其他什么新北京人都不是,Legal/Admin,,Restrictive,merged,train
xhs_train_82,小红书,北京,有户口的是北京人，但是北京土著一听你说话就知道不是，估计会问一句老家哪儿的，也不会问你有没有北京户口，直接划分为外地的，平时也会和新北京人一起玩，但是能像发小那么知心确实很难，说话也要注意，毕竟成长环境不同,Birth/Upbringing; Legal/Admin,Language; Community,Restrictive,merged,train
xhs_train_83,小红书,北京,没有其他，只是单纯回答这个问题，也不一定就对啊，我觉得爷爷辈儿，爸爸辈儿的身份证也都是11010开头的，还有就是别管你谁，只要讲理，北京人一定讲面儿，开口闭口都是“您”,Family Heritage,Culture,Inclusive,merged,train
xhs_train_84,小红书,北京,北京生 北京长就算了,Birth/Upbringing,,Inclusive,merged,train
xhs_train_85,小红书,北京,不算真正的老北京都是二环里，出了二环就是农村，北京8几年开始扩建，70年代以前的人印象很深，到了80年代人就没有这样的印象了，觉得三环都是老北京,Intra-city Region,,Restrictive,merged,train
xhs_train_86,小红书,北京,你算第一代北京人，你的孩子就是二代北京人。,Family Heritage,,Neutral,merged,train
xhs_train_90,小红书,北京,有北京户口就是京一代，京一代的儿女就是京二代，在我看来，都是北京人。京一代很多都是各行业精英。,Birth/Upbringing; Legal/Admin,,Inclusive,merged,train
xhs_train_91,小红书,北京,我们远郊区都不算北京人,Intra-city Region,,Restrictive,merged,train
xhs_train_93,小红书,北京,北京土著一定是 110 身份证开头的,Legal/Admin,,Restrictive,merged,train
xhs_train_94,小红书,北京,个人觉得，你往上倒两代要都是北京的，您就大大方方说自己是北京孩砸没毛病。就是你爷爷和你爸爸都是北京就行了，坟里埋的爱哪儿哪儿的，反正我也没见过,Family Heritage,,Inclusive,merged,train
xhs_train_95,小红书,北京,听说话就能听出来，然后举止做派都不一样，一眼就能看出来是不是老北京,,Culture; Language; Community,Restrictive,merged,train
xhs_train_97,小红书,北京,因为跟他说自己是北京人的，都不是真北京人，北京人才客客气气的呢,,Culture,Restrictive,merged,train
xhs_train_98,小红书,北京,咱们回老家过年过节还有一堆亲戚的，真不算北京人,Family Heritage,,Restrictive,merged,train
xhs_train_100,小红书,北京,在北京居住满24小时就是北京人,Residence,,Inclusive,merged,train
xhs_train_101,小红书,北京,我110103，刚被所谓老北京人骂是新北京人，因为我小时候不是住二环里,Intra-city Region,,Neutral,merged,train
xhs_train_103,小红书,北京,自己去定义，有钱有房有车有户口，你觉得别人叫不叫你北京人重要么,Property/Assets; Legal/Admin,Belonging; Community; Self-ID,Inclusive,merged,train
xhs_train_105,小红书,北京,听语气，基本上两句话就能听出来是不是地道北京人,,Language,Neutral,merged,train
xhs_train_106,小红书,北京,这事你一个外地人说了不算，另外，我就纳闷儿了，我家1665年左右迁到北京，在这里住了360年，被你一句话就说成外地人了，你算哪颗葱啊？,Family Heritage,Belonging,Restrictive,merged,train
xhs_train_107,小红书,北京,当然算北京人了，有没有户口都是北京人 哪有时间分辨是不是北京人啊！我们又不是查户口的 你们愿意说自己是就是吧！,,Self-ID,Inclusive,merged,train
xhs_train_110,小红书,北京,最起码和我一样吧。从我这代人往上数，五代人。都是北京人。我妈这边也算哦。我姥姥，我太姥姥等。也都是北京人啦！,Family Heritage,,Restrictive,merged,train
xhs_train_111,小红书,北京,来了北京就算北京人,Residence,Self-ID,Inclusive,merged,train
xhs_train_112,小红书,北京,49年以后不在老北京的都不是,Residence; Family Heritage,,Restrictive,merged,train
xhs_train_113,小红书,北京,看父母，看孩子心里的归属感，最主要的是，父母是不是在北京文化圈子下长起来的,Family Heritage,Belonging; Culture,Neutral,merged,train
xhs_train_120,小红书,北京,个人认为， 出生和长在北京的就算是北京人， 换句话说， 在北京生活一代半的就是北京人了,Birth/Upbringing,,Inclusive,merged,train
xhs_train_123,小红书,北京,只要一看脸就知道是不是北京的...长相确实能看出来,,Community,Restrictive,merged,train
xhs_train_125,小红书,北京,有户口的都是北京人,Legal/Admin,,Inclusive,merged,train
xhs_train_126,小红书,北京,我们小区我遇到两个都跟我说是北京的。结果那外地口音重的。我不歧视，但是都在异乡，我找的是同乡。不是新北京人。,,Language,Restrictive,merged,train
xhs_train_129,小红书,北京,我家解放后第一批进京干部，我爸妈都是110身份证我都不觉得自己是北京人，因为和我老公家五代以上北京人生活习惯差别太大了,Family Heritage,Culture,Restrictive,merged,train
xhs_train_130,小红书,北京,土著自带松弛感每天就关心吃穿玩乐了新北京人还是挺卷的更注重提升自己吧老北京人才不在乎啥能不能力，凑合就行，反正也不缺那仨瓜俩枣,,Culture,Restrictive,merged,train
xhs_train_131,小红书,北京,加一，我家孩子的同学见面称呼我阿姨好的都是本地人，叫我某某妈妈的都是新北京的家庭。,,Culture,Neutral,merged,train
xhs_train_132,小红书,北京,三代在北京，算是老北京。我家孩子的孩子，才算北京人,Family Heritage,,Restrictive,merged,train
xhs_train_134,小红书,北京,京籍是后落户北京的外地人，北京土著是祖上很早就定居北京了，深受老北京文化的熏陶，传承了很多老北京传统文化，一聊天就能感受到不同。,Family Heritage,Culture,Neutral,merged,train
xhs_train_136,小红书,北京,好多人出生在北京，没有北京户口，算北京人？,Birth/Upbringing; Legal/Admin,,Restrictive,merged,train
xhs_train_137,小红书,北京,土著：爱谁谁，什么北京不北京的 新土著：多少代在北京/说话京片子/得懂老北京的规矩才是老北京人,,Culture,Neutral,merged,train
xhs_train_139,小红书,北京,我感觉，至少爷爷辈的兄弟姐妹都在北京才算吧。。。,Family Heritage,,Restrictive,merged,train
xhs_train_141,小红书,北京,不算，怎么着也得三代吧，否则对北京很多东西都不知道,Family Heritage,Culture,Restrictive,merged,train
xhs_train_142,小红书,北京,真的土著听口音就知道是北京人，京籍会把户口放第一位，凸显自己有北京户口,,Language,Restrictive,merged,train
xhs_train_147,小红书,北京,说山东人没啥问题，父母都是山东的，祖籍是山东的，就可以说是山东人，很多在北京生活了大半辈子的老人，也是这样说的,Family Heritage,,Inclusive,merged,train
xhs_train_148,小红书,北京,三代人以上在北京才算吧,Family Heritage,,Restrictive,merged,train
xhs_train_149,小红书,北京,地铁或者车里，人稍微有点多，但不是人挤人的，下车需要别人稍微让让，直接挤或者撞过去的，大概率是外阜的，说句好听话的，基本上是北京的,,Culture; Community,Restrictive,merged,train
xhs_train_150,小红书,北京,我一个北京郊区的都不敢说自己是北京人,,Self-ID,Restrictive,merged,train
xhs_train_152,小红书,北京,老北京人儿骨子里有一种仁义和地道的标准线,,Culture,Neutral,merged,train
xhs_train_155,小红书,北京,北京户口110开头，不知道外地留京的是不是，如果改成110就是。,Legal/Admin,,Neutral,merged,train
xhs_train_158,小红书,北京,人家咋可能新北京人，都三代了，绝对是老土著,Family Heritage,Self-ID,Restrictive,merged,train
xhs_train_159,小红书,北京,有绿卡的才算啊北京户口都不是大爷们能吹的了,Legal/Admin,Community,Restrictive,merged,train
xhs_train_160,小红书,北京,虽然你从小到大一直在北京，但你不是北京人，北京人能看出来，也能感觉出来，所以会问你哪人。,,Community,Restrictive,merged,train
xhs_train_162,小红书,北京,从我个人角度，觉得从小在北京长大的才是北京人户口啥的真的不能这么算，新北京人一张嘴全是外地口音对北京知道的也就核心地段,Birth/Upbringing,Culture; Language,Restrictive,merged,train
xhs_train_170,小红书,北京,老北京人出生自带的。。不太纠结是不是北京的。和后天拿的户口。心里就不在一个层面,,Culture,Restrictive,merged,train
xhs_train_171,小红书,北京,其实分辨是不是北京土著用一个骂人的词就行，你让你身边的人骂一句“丫挺的”。这还是很久以前的一位出租车司机师傅告诉我的方法。虽然有点糙，但好使。,,Culture; Language,Inclusive,merged,train
xhs_train_172,小红书,北京,虽然不觉得有什么特别骄傲的，但我父母双方往上十代都是北京的。而且你要比我大那么多你现在应该有50了吧？,Family Heritage,,Neutral,merged,train
xhs_train_173,小红书,北京,有的时候不用开口，真的能从外表看出来……就是那种这种长相应该是其他地方的，如果长相看不出来的话，也能从穿搭上看出来，不是有钱没钱的意思，而是大多数北京人就不会这么穿（当然也不是百分之百）,,Culture; Community,Restrictive,merged,train
xhs_train_174,小红书,北京,现在北京人就没几个土著，5代人土生土长在北京才算土著，现在太爷爷辈土生土长在北京一般就算土著了,Family Heritage,Self-ID,Restrictive,merged,train
xhs_train_175,小红书,北京,感觉父母先是110，父母从小北京长大，就会懂很多老北京东西，教孩子就会教很多礼儿，那孩子被教育出来就是土著感，北京话叫有礼有面，待人实诚，甭管家里穷不穷也没有那种非要挤破头做人上人的竞争感，最明显的是不会嫌弃北京，嫌弃北京人。接触一个新认识人时，一秒让我知道她不是北京人的就是，话里话外拐弯抹角瞧不起北京人,Legal/Admin; Family Heritage,Belonging; Culture,Neutral,merged,train
xhs_train_176,小红书,北京,我刚来北京的时候，有个老者告诉我，连续住30年才算北京人。现在我觉得说的对，要多看，多体会，多问。,,Culture,Restrictive,merged,train
xhs_train_177,小红书,北京,老北京是祖祖辈辈生在北京、长在北京，受北京文化影响一辈又一辈，北京情怀和底蕴根深蒂固，由内而外透出北京人特有的文化气息，这才是真正的北京人。而新北京人只是有北京户口的人，大多都是新办的，祖籍全国各地的哪儿都有，我个人觉得按实际意义上说他们并不是北京人，而是有北京户口的人。我是这么理解的。,Family Heritage,Culture,Restrictive,merged,train
xhs_train_179,小红书,北京,在我眼里只有北京土著才有会承认是北京人,Family Heritage,,Restrictive,merged,train
xhs_train_181,小红书,北京,父母身份证🪪都是110开头的，我觉得这是地地道道北京人,Family Heritage,,Neutral,merged,train
xhs_train_184,小红书,北京,以我的经历，好多人反而都说是靠说谢谢认出来是北京的，说就北京人到处说谢谢、说您、说客气话儿,,Culture,Neutral,merged,train
xhs_train_189,小红书,北京,怎么叫老啊？有说三代人就算了，也有说清朝入关的也不算老北京。有人认为会说北京土话的算，但是我小时候的北京土话没多少人说了，有时候我冒出一句，别人还问我老家是哪儿的？怎么有口音！我也迷茫了。,Family Heritage,Language,Neutral,merged,train
xhs_train_190,小红书,北京,是不是北京土著，就看他吃不吃北京的食物就行了～很多外地留在北京的，每天吃的是自己家乡菜，然后还要和你说他是北京人。结果告诉你炸酱面不好吃,,Belonging; Culture,Restrictive,merged,train
xhs_train_191,小红书,北京,哈哈哈，档案的话可不仅仅是人事档案啊，什么档案都可以证明的。只是为什么要证明这个呢？如果非要证明，爷爷的话怎么就不算一种证明呢？说实话，城里城外，北京的内城外城就像三教九流一样，内容清晰而边界分明，只要你家老北京在“老”的时间维度上、“北京”空间维度上有过见证和参与，就应该都算老北京。,Intra-city Region; Family Heritage,Belonging,Inclusive,merged,train
xhs_train_193,小红书,北京,说句实话，北京土著这个词小时候就没听说过，也没人讲过。这是个伪命题，就没有土著这个概念。不管你家在北京几代，只要是从外地迁过来的，都不算土著。除非你家祖先在北京还叫做燕国的时候就在这块土地繁衍生息，那可以称为土著，这种少之又少，还要有族谱的记载才能证明。所以就不要说土著这个词了，可以换成另外一个词：土生土长。,Birth/Upbringing; Family Heritage,,Restrictive,merged,train
xhs_train_196,小红书,北京,解放前就在北京的可以算土著。几代不好说了。,Family Heritage,,Restrictive,merged,train
xhs_train_199,小红书,北京,对啊。有一次人家帮我扶了下门，我说谢谢。后来那大哥说，你看你就是北京孩子。有礼貌,,Culture,Neutral,merged,train
xhs_train_201,小红书,北京,不算，我认为首先应该是北京户口，其次是北京出生，我单住一些同事从外地来北京上大学最后留北京，当问到你是哪儿的人时，没有一个人会说自己是北京人，天南地北都是外地。,Birth/Upbringing; Legal/Admin,,Restrictive,merged,train
xhs_train_202,小红书,北京,家谱不够啊，得在旗才算老北京,Legal/Admin; Family Heritage,Self-ID,Restrictive,merged,train
xhs_train_203,小红书,北京,北京土著至少三代都是北京出生长大 我跟老公都是土著我在报社大院长大 我两也都是211毕业 但没觉得能咋样所以不鸡娃不报班 周末看看国安平时打打王者,Birth/Upbringing; Family Heritage,,Restrictive,merged,train
xhs_train_204,小红书,北京,按现在30岁的孩子算，似乎大院孩子也应该是爷爷那辈就已经进京了吧，父母要是进京，您还在北京生北京长怎么也该有孙子了吧，那您孙子开始就是北京土著了,Family Heritage,,Neutral,merged,train
xhs_train_207,小红书,北京,嗯个人理解哈，京籍比较宽泛，如果你们家只有你一个人是北京户口就算京籍，然后北京土著就是家里人都是北京户口或者一方有北京户口并且世代定居在北京，就比如说我家我和我妹妹是北京户口，我爸也是我爷爷也是而且就我知道的我爷爷从小就住这一直到我和妹妹，再往上的我不清楚但是我估计也都是北京户口并且定居在这的,Legal/Admin; Family Heritage,,Neutral,merged,train
xhs_train_208,小红书,北京,wdr挂像这不是胡说....一眼看出是不是北京人,,Self-ID,Restrictive,merged,train
xhs_train_210,小红书,北京,局气，才是北京人。,,Culture,Restrictive,merged,train
xhs_train_211,小红书,北京,嚯！在旗，我姥姥在旗，老姓叶赫那拉，证明自己是老北京太难,Legal/Admin; Family Heritage,Community; Self-ID,Restrictive,merged,train
xhs_train_213,小红书,北京,我刚来北京的时候，有一个老者告诉我，要连续住30年才能算上北京人。现在我觉得说的对有很多东西要看，要体会，还要了解为什么。,,Culture,Restrictive,merged,train
xhs_train_214,小红书,北京,起码爹妈那辈子儿就是北京出生的才算,Family Heritage,,Restrictive,merged,train
xhs_train_215,小红书,北京,一度怀疑只有我有这个能力，打眼儿一看就差不多知道了，再一张嘴就更能确定是不是老北京！,,Language; Community,Restrictive,merged,train
xhs_train_216,小红书,北京,现在的北京人已经不像过去的北京人了。我回家坐公共汽车，保安那个外地小子坚持说我不是北京人。我说我从小就这儿长大的，他还是说不是，因为我说话太客气。我说北京人的特点就是客气讲礼貌啊！,Birth/Upbringing,Culture,Restrictive,merged,train
xhs_train_219,小红书,北京,我的理解是京籍是，不是北京人但是是北京户口（父母一方是北京的从小不在北京教育）或者是考到北京的外地人因为考到北京后户口就落北京了，北京人是祖孙4代以上吧（不确定）是纯北京人，,Family Heritage,,Restrictive,merged,train
xhs_train_220,小红书,北京,有人说老北京得是三代以上都住在北京才算土著 相对京籍就是住的没那么久。但是从小在北京长大的能差多少啊,Birth/Upbringing,,Inclusive,merged,train
xhs_train_221,小红书,北京,如果还有老家可以回，那就不属于真的北京人，如果没有老家了，所有的家人都在北京了，那就是北京人了,Family Heritage,,Neutral,merged,train
xhs_train_224,小红书,北京,110开头都不算，必须南城老北京,Intra-city Region; Family Heritage,,Restrictive,merged,train
xhs_train_225,小红书,北京,落户当然就算了。有三五代就跟老北京一样了,Legal/Admin; Family Heritage,,Inclusive,merged,train
xhs_train_226,小红书,北京,现在北京人就没几个土著，至少5代在京4代土生土长才算土著,Family Heritage,,Restrictive,merged,train
xhs_train_228,小红书,北京,有的好像是因为考学，或者派工够多少年就可以是北京户口了，还有就是积分落户啥的。,Legal/Admin,,Inclusive,merged,train
xhs_train_229,小红书,北京,我小孩身份证是110。北京户口。满足这两样就是北京人。,Legal/Admin,,Neutral,merged,train
xhs_train_230,小红书,北京,在北京出生，长大的就算,Birth/Upbringing,,Inclusive,merged,train
xhs_train_231,小红书,北京,在北京生，北京长，就算北京人。,Birth/Upbringing,,Inclusive,merged,train
xhs_train_233,小红书,北京,有一次我去陶然亭一个烤肉店吃饭，上电梯的时候有人等我我就谢谢人家，电梯里的人说你不是北京人吧？我说为什么说我不是？他说北京人没有你这么客气的，我说那您还是见的太少了...,,Culture,Neutral,merged,train
xhs_train_235,小红书,北京,1949年以后来的，都不算老北京,Family Heritage,,Restrictive,merged,train
xhs_train_236,小红书,北京,我们哪个年代北京出生并北京生活的都是北京人，如果按现在标准往上推三代，已经回到大清了，我算浙江人,Birth/Upbringing; Residence,,Inclusive,merged,train
xhs_train_237,小红书,北京,作为一个北京人我觉得这个不好区分，真正的还是你爱不爱北京，是否拿北京当家乡。典型的是当北京的球队与外面的球队比赛，你支持那个？,,Belonging; Self-ID,Inclusive,merged,train
xhs_train_238,小红书,北京,等你有两套房子时，你就可以很硬气的说我是北京的了，300万一套今年房价，对北漂来说很难，对本地大多数人来说都不难,Property/Assets,,Restrictive,merged,train
xhs_train_239,小红书,北京,从爷爷奶奶悲儿就是北京人的才能算是真正的老北京人！ 最起码儿传3代了！,Family Heritage,,Restrictive,merged,train
xhs_train_240,小红书,北京,北京土著不是胡同儿的就是大院儿的,Intra-city Region,,Restrictive,merged,train
xhs_train_241,小红书,北京,没有严格规定，都自以为是，有人觉得78年以前，有人觉得66年以前，有人觉得49年以前。我到觉得在北京有工作，有住所(含租房)，有户口就是北京人了。时间短的是新北京人，时间长的是老北京人。居住时间长了您真正融入京城文化，生活习惯，那就是土著了。北京是个移民城市，真正工著并不多，旗人也是外来人口。,Residence; Legal/Admin,Culture,Inclusive,merged,train
xhs_train_242,小红书,北京,判断老北京人和新北京人的一条：爷爷身份证是不是110,Legal/Admin; Family Heritage,,Neutral,merged,train
xhs_train_243,小红书,北京,只要你不是北京出生的，你永远不是北京人。当问到你是哪儿的人呀，永远要回答你的出生地。比如我是河南人，我是辽宁人...,Birth/Upbringing,,Restrictive,merged,train
xhs_train_246,小红书,北京,虽然很离谱但是能从长相看出来，能感觉出来对方是不是北京的,,Community,Neutral,merged,train
xhs_train_247,小红书,北京,父辈北京生人 可以说是土著,Birth/Upbringing; Family Heritage,,Inclusive,merged,train
xhs_train_248,小红书,北京,北京出生北京长大就算,Birth/Upbringing,,Inclusive,merged,train
xhs_train_249,小红书,北京,新北京人：在北京就是北京人 北京人:110开头就是北京人 老北京人:出了三环不叫老北京 原教旨主义老北京:户口本籍贯北京 身份证101~104 住三环内,Residence; Legal/Admin; Intra-city Region,,Restrictive,merged,train
xhs_train_252,小红书,北京,区分非常简单，解放前在北京的后人是土著，和解放以后来北京的面前不是,Family Heritage,,Restrictive,merged,train
xhs_train_253,小红书,北京,说话啊，一听就能听出来，有没有北京味儿！,,Language,Restrictive,merged,train
xhs_train_255,小红书,北京,正经身份证110开头一般不会我京户但从小在南方长大，14岁才回的北京，本质上不算北京人，反正上学的时候没觉得被歧视,Birth/Upbringing,,Restrictive,merged,train
xhs_train_256,小红书,北京,“咋”“啥”这种词只有外地人+郊区的老农民会用，反正80后以前的北京孩子绝不这么说！一听就切了吧唧的！现在的人没几个正经北京人，连大院儿的都没几个了，都是新北京，没意思，也号称是“北京人”。,,Language,Restrictive,merged,train
xhs_train_257,小红书,北京,有北京户口当然就是北京人啊,Birth/Upbringing; Residence; Legal/Admin,,Inclusive,merged,train
xhs_train_258,小红书,北京,根是北京人才是啊,Family Heritage,,Restrictive,merged,train
xhs_train_259,小红书,北京,北京土著大概就是北京生北京长的京籍。,Birth/Upbringing; Legal/Admin,,Neutral,merged,train
xhs_train_263,小红书,北京,我觉得主要还是要看自我认知 北京出生北京成长 自然会觉得自己是北京人,Birth/Upbringing,Self-ID,Inclusive,merged,train
xhs_train_265,小红书,北京,看自己吧，有些人，没有北京户口的，一样认为是北京人，身土不二，估计您不喜欢自己老家,,Belonging; Culture; Self-ID,Restrictive,merged,train
xhs_train_266,小红书,北京,真正老北京人有素质有礼貌，现在大多是新移民来的假北京人 ，就是外地人混的户口居多的东北山东河北这三地的人变成北京人 这些人里面有的素质不敢恭维，尤其东北那边的素质比较，，，，，,,Culture,Restrictive,merged,train
xhs_train_268,小红书,北京,这个最低限度也得是民国时候家就在北京，而且住在四九城的，就跟古玩似的，解放后的都是算新的，至少到民国才算老的,Birth/Upbringing; Family Heritage,Self-ID,Restrictive,merged,train
xhs_train_270,小红书,北京,看过年留北京还是回外地老家就行，北京土著一家人都在北京，京籍大多是父母打拼大半辈子搞来的户口,Family Heritage,Community,Restrictive,merged,train
xhs_train_271,小红书,北京,在西城住平房的才算是北京人，其他都外地的，管你身份证110、120、130,Property/Assets; Intra-city Region,,Restrictive,merged,train
xhs_train_272,小红书,北京,起码籍贯那栏得是北京,Legal/Admin; Family Heritage,,Restrictive,merged,train
xhs_train_273,小红书,北京,我跟题主一样，爷爷和姥姥都已经在八宝山埋着了，但我媳妇说我家不算北京人,Family Heritage,,Neutral,merged,train
xhs_train_274,小红书,北京,户口本上祖籍和籍贯都是北京了，就达标了,Legal/Admin; Family Heritage,,Restrictive,merged,train
xhs_train_275,小红书,北京,其实我觉得从小在北京长大的，就算没有北京户口。也算半个北京人了。而有的虽然后来有了北京户口，但是他从各方面都没有融入北京。也只能算有北京户口。,Birth/Upbringing,Culture,Restrictive,merged,train
xhs_train_277,小红书,北京,我从穿衣风格、尤其是鞋子上看，不用开口说话就能识别出是不是北京人。,,Culture; Community,Neutral,merged,train
xhs_train_280,小红书,北京,要是生在北京户口落在这里了。我同事祖上也不是北京，就是因为生在北京了，也是110开始。,Birth/Upbringing; Legal/Admin,,Neutral,merged,train
xhs_train_282,小红书,北京,在北京生活的是四种人：1.上三代在崇文、宣武、东西城生活的人是老北京人。2.上三代在其他区的都是住城外的村里人，城市扩张后成了北京人。3.建国后调过来的各种大院的子弟，这些人心气高路子多自成一群。4.高考恢复后考过来的以及他们的后代都是京籍。鄙视链为3:1:2:4，越靠近鄙视链底层越排外,Intra-city Region; Family Heritage,,Restrictive,merged,train
xhs_train_283,小红书,北京,不虚伪不算计没心计就是北京人,,Culture,Inclusive,merged,train
xhs_train_289,小红书,北京,你为啥要让他随你老公的籍贯啊，可以随你啊北京是到了第3代，籍贯就能写成北京了。,Legal/Admin; Family Heritage,,Neutral,merged,train
xhs_train_290,小红书,北京,籍贯北京，春节的时候没什么其他老家可回的就是北京人了吧,Legal/Admin,Belonging,Inclusive,merged,train
xhs_train_291,小红书,北京,不是110开始的就是新北京人,Legal/Admin,,Restrictive,merged,train
xhs_train_293,小红书,北京,二环里算北京人，前三门大街以南算老北京人，北面以前住的都是满族在旗的人。,Intra-city Region,,Neutral,merged,train
xhs_train_294,小红书,北京,两代以上，第三代开始，就差不多同化了。北京就算是故乡了。,Legal/Admin; Family Heritage,,Neutral,merged,train
